Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
09/01/2018,Bronx,B01,45575,23980,13357,6883,15229,38812
09/01/2018,Bronx,B02,22974,12277,7043,3476,7001,19231
09/01/2018,Bronx,B03,42384,22379,12901,6632,12512,34441
09/01/2018,Bronx,B04,59231,32012,16904,8323,21856,51012
09/01/2018,Bronx,B05,58005,30913,17268,8783,19378,47884
09/01/2018,Bronx,B06,39784,20964,14218,6801,11148,33520
09/01/2018,Bronx,B07,48003,26293,13064,6698,19347,43054
09/01/2018,Bronx,B08,16716,9851,3230,1678,8876,16919
09/01/2018,Bronx,B09,54113,29193,13743,6718,22259,48762
09/01/2018,Bronx,B10,17627,10637,3595,1866,9302,17799
09/01/2018,Bronx,B11,24271,13877,5708,3069,12857,25627
09/01/2018,Bronx,B12,37611,20363,12538,6186,16525,37643
09/01/2018,Brooklyn,K01,52715,20495,6632,2519,32525,47250
09/01/2018,Brooklyn,K02,13791,9070,2973,1904,6873,13308
09/01/2018,Brooklyn,K03,45971,24357,10083,5217,19812,38305
09/01/2018,Brooklyn,K04,26548,15640,4563,2478,14462,25036
09/01/2018,Brooklyn,K05,63518,35199,14169,7332,25539,51870
09/01/2018,Brooklyn,K06,9973,6431,1818,1091,5389,10067
09/01/2018,Brooklyn,K07,23563,13326,3210,1884,22773,31629
09/01/2018,Brooklyn,K08,21624,13495,5359,3139,10221,20137
09/01/2018,Brooklyn,K09,21469,12636,4052,2373,13465,21855
09/01/2018,Brooklyn,K10,17422,9843,1748,1163,16297,22843
09/01/2018,Brooklyn,K11,38010,21758,3176,1912,29835,44645
09/01/2018,Brooklyn,K12,63664,20755,10144,2490,45381,63581
09/01/2018,Brooklyn,K13,33044,21261,4735,2367,15232,32854
09/01/2018,Brooklyn,K14,33345,18925,4552,2611,22522,35344
09/01/2018,Brooklyn,K15,28852,17402,3117,1680,19502,32163
09/01/2018,Brooklyn,K16,36694,20127,11922,5800,11715,30234
09/01/2018,Brooklyn,K17,31305,19133,7497,4331,19399,32769
09/01/2018,Brooklyn,K18,28165,16579,5399,2884,18716,30532
09/01/2018,Manhattan,M01,2245,1762,685,553,1562,2995
09/01/2018,Manhattan,M02,3170,2481,288,266,2902,4313
